Fiscal Year,Region,Age Group,Race Ethnicity,Gender,Alleged Victims in Initial Investigation,Alleged Victims in Repeat Investigation,Recidivism
2019,1-Lubbock,18-64 with Disabilities,African American,Female,195,51,0.26154
2019,1-Lubbock,18-64 with Disabilities,African American,Male,162,29,0.17901
2019,1-Lubbock,18-64 with Disabilities,Anglo,Female,510,90,0.17647
2019,1-Lubbock,18-64 with Disabilities,Anglo,Male,430,70,0.16279
2019,1-Lubbock,18-64 with Disabilities,Anglo,Unknown,2,0,0
2019,1-Lubbock,18-64 with Disabilities,Asian,Female,3,1,0.33333
2019,1-Lubbock,18-64 with Disabilities,Asian,Male,3,0,0
2019,1-Lubbock,18-64 with Disabilities,Hispanic,Female,269,48,0.17844
2019,1-Lubbock,18-64 with Disabilities,Hispanic,Male,230,26,0.11304
2019,1-Lubbock,18-64 with Disabilities,Hispanic,Unknown,2,1,0.5
2019,1-Lubbock,18-64 with Disabilities,Native American,Female,2,1,0.5
2019,1-Lubbock,18-64 with Disabilities,Other,Female,180,40,0.22222
2019,1-Lubbock,18-64 with Disabilities,Other,Male,135,27,0.2
2019,1-Lubbock,18-64 with Disabilities,Other,Unknown,1,0,0
2019,1-Lubbock,65 and Older,African American,Female,205,53,0.25854
2019,1-Lubbock,65 and Older,African American,Male,141,24,0.17021
2019,1-Lubbock,65 and Older,African American,Unknown,3,3,1
2019,1-Lubbock,65 and Older,Anglo,Female,850,140,0.16471
2019,1-Lubbock,65 and Older,Anglo,Male,578,97,0.16782
2019,1-Lubbock,65 and Older,Anglo,Unknown,7,2,0.28571
2019,1-Lubbock,65 and Older,Asian,Female,9,2,0.22222
2019,1-Lubbock,65 and Older,Asian,Male,3,1,0.33333
2019,1-Lubbock,65 and Older,Hispanic,Female,442,84,0.19005
2019,1-Lubbock,65 and Older,Hispanic,Male,306,41,0.13399
2019,1-Lubbock,65 and Older,Hispanic,Unknown,5,1,0.2
2019,1-Lubbock,65 and Older,Native American,Female,5,1,0.2
2019,1-Lubbock,65 and Older,Native American,Male,2,0,0
2019,1-Lubbock,65 and Older,Other,Female,277,58,0.20939
2019,1-Lubbock,65 and Older,Other,Male,162,23,0.14198
2019,1-Lubbock,65 and Older,Other,Unknown,1,0,0
2019,1-Lubbock,Under 18,Hispanic,Male,1,0,0
2019,2-Abilene,18-64 with Disabilities,African American,Female,130,29,0.22308
2019,2-Abilene,18-64 with Disabilities,African American,Male,103,16,0.15534
2019,2-Abilene,18-64 with Disabilities,African American,Unknown,2,1,0.5
2019,2-Abilene,18-64 with Disabilities,Anglo,Female,723,140,0.19364
2019,2-Abilene,18-64 with Disabilities,Anglo,Male,568,93,0.16373
2019,2-Abilene,18-64 with Disabilities,Anglo,Unknown,7,4,0.57143
2019,2-Abilene,18-64 with Disabilities,Asian,Female,2,0,0
2019,2-Abilene,18-64 with Disabilities,Asian,Male,1,0,0
